ID,Scrape_Time,Publication_Time,URL,Source,Title,Content,Sentiment,Negative_Confidence,Neutral_Confidence,Positive_Confidence
1,2024-10-13 16:03:32,hours ago,https://finance.yahoo.com/news/forget-chipotle-why-might-want-074700268.html,Yahoo Finance,Should You Forget Chipotle? Why You Might Want to Buy This Unstoppable Growth Stock Instead.,Chipotle Mexican Grill has grown its business massively over the years but is now facing a bit of turbulence. You might want to take a look at Cava.,Positive,0.09104766696691513,0.019109657034277916,0.8898426294326782
2,2024-10-13 16:03:32,days ago,https://finance.yahoo.com/news/jim-cramer-says-cava-group-201746852.html,Yahoo Finance,"Jim Cramer Says ‘I Like CAVA Group, Inc. (CAVA) Very Much’","We recently published an article titled Jim Cramer on Super Micro Computer and Other Stocks. In this article, we are going to take a look at where CAVA Group, Inc. (NYSE:CAVA) stands against the other super micro computer stocks. As earnings season kicks off, Mad Money’s host, Jim Cramer reminds investors that bad news can often […]",Positive,0.03947577625513077,0.210720494389534,0.7498036623001099
3,2024-10-13 16:03:32,days ago,https://finance.yahoo.com/news/jim-cramer-says-ve-got-114417940.html,Yahoo Finance,Jim Cramer Says ‘You’ve Got to Hold’ Cava Group (NYSE:CAVA),"We recently published a list of Jim Cramer October Calls: Top 10 Stocks. Since CAVA Group Inc (NYSE:CAVA) ranks 8th on the list, it deserves a deeper look. Jim Cramer in a latest program on CNBC talked about the ills of “complacency” in investing and how sticking to a specific narrative costs investors money. He was criticizing […]",Neutral,0.0221173744648695,0.7256155610084534,0.252267062664032
4,2024-10-13 16:03:32,days ago,https://finance.yahoo.com/news/cava-group-cava-dips-more-215021586.html,Yahoo Finance,Cava Group (CAVA) Dips More Than Broader Market: What You Should Know,"Cava Group (CAVA) reachead $130.24 at the closing of the latest trading day, reflecting a -1.23% change compared to its last close.",Negative,0.8964712023735046,0.08264198154211044,0.020886894315481186
5,2024-10-13 16:03:32,days ago,https://finance.yahoo.com/news/where-cava-stock-5-years-223000765.html,Yahoo Finance,Where Will Cava Stock Be in 5 Years?,Shares are up 300% in the last 12 months.,Negative,0.9480392932891846,0.013005316257476807,0.03895542398095131
6,2024-10-13 16:03:32,days ago,https://finance.yahoo.com/m/06d0f635-0c20-311d-bea7-417fe9543993/broadcom-cava-lead-five.html,Yahoo Finance,"Broadcom, Cava Lead Five Stocks Near Buy Points",Artificial intelligence chip stalwart Broadcom and fast-casual pacesetter Cava Group lead this watchlist of five stocks near buy points.,Positive,0.20858274400234222,0.013131517916917801,0.7782857418060303
7,2024-10-13 16:03:32,days ago,https://finance.yahoo.com/news/cava-group-cava-beats-stock-214521558.html,Yahoo Finance,Cava Group (CAVA) Beats Stock Market Upswing: What Investors Need to Know,"Cava Group (CAVA) closed at $126.60 in the latest trading session, marking a +1.34% move from the prior day.",Negative,0.9201099276542664,0.05934523791074753,0.02054484188556671
8,2024-10-13 16:03:32,days ago,https://finance.yahoo.com/news/cava-group-inc-cava-best-102211124.html,Yahoo Finance,Is CAVA Group Inc. (CAVA) the Best High Short Interest Stock to Invest In Now?,"We recently compiled a list of the 7 Best High Short Interest Stocks To Invest In. In this article, we are going to take a look at where CAVA Group Inc. (NYSE:CAVA) stands against the other high short interest stocks. What’s Going On in China? China’s housing market, once a booming sector, has experienced a significant […]",Positive,0.19799382984638214,0.14056557416915894,0.6614406108856201
9,2024-10-13 16:03:32,days ago,https://finance.yahoo.com/m/5edbd7e1-8108-3cad-88dc-c95998f74367/cava-stock-of-the-day-eyes.html,Yahoo Finance,"Cava, Stock Of The Day, Eyes New Buy Point After 190% Run, With Earnings Set To Double","Cava is the IBD Stock Of The Day as it hugs a short-term support level while eyeing both an early entry and a more-traditional buy point.  Cava stock continues its red-hot run after an August earnings beat-and-raise, near post-IPO highs.  Cava stock packs a punch, too, having nearly tripled year to date.",Negative,0.9390254020690918,0.023027250543236732,0.03794727474451065
10,2024-10-13 16:03:32,days ago,https://finance.yahoo.com/news/cava-group-inc-cava-trending-130015317.html,Yahoo Finance,"CAVA Group, Inc. (CAVA) Is a Trending Stock: Facts to Know Before Betting on It","Recently, Zacks.com users have been paying close attention to Cava (CAVA). This makes it worthwhile to examine what the stock has in store.",Positive,0.09912943094968796,0.011459377594292164,0.889411211013794
